                      Estimate   Std. Error
ln_H_input       -1.023083e+00 1.964162e-01
ln_H_input       -7.222604e-02 1.929673e-01
beta1_t          -4.025800e+00 6.440321e-01
beta1_t          -4.150254e+00 6.499917e-01
beta1_t          -4.057388e+00 6.407369e-01
beta1_t          -4.612133e+00 6.513814e-01
beta1_t          -4.254438e+00 6.417970e-01
beta1_t          -4.547251e+00 6.469029e-01
beta1_t          -4.617891e+00 6.500969e-01
beta1_t          -4.172434e+00 6.423502e-01
beta1_t          -4.336876e+00 6.447433e-01
beta1_t          -4.016294e+00 6.419272e-01
beta1_t          -4.072425e+00 6.485700e-01
beta1_t          -3.608818e+00 6.365353e-01
logetaE1          2.966394e-01 1.075604e+00
logetaO1         -2.452195e+00 1.616261e-01
logkappa1        -3.804909e+00 2.029408e-01
logsigmaVT1      -3.044999e+00 5.176053e+00
beta2_t           5.415621e+00 3.362151e-01
beta2_t           6.161473e+00 3.537064e-01
beta2_t           5.819516e+00 3.299295e-01
beta2_t           6.664964e+00 3.531550e-01
beta2_t           5.719856e+00 3.413642e-01
beta2_t           6.421847e+00 3.718315e-01
beta2_t           5.726627e+00 3.759648e-01
beta2_t           5.984784e+00 3.322809e-01
beta2_t           6.023846e+00 3.730878e-01
beta2_t           5.798409e+00 3.482994e-01
beta2_t           5.673567e+00 3.660207e-01
beta2_t           6.309647e+00 2.908888e-01
logetaE2         -1.341221e+00 1.166125e-01
logetaO2         -1.586892e+00 1.354970e-01
logkappa2        -2.457897e+00 2.339098e-01
logsigmaVT2      -1.561629e+00 6.675931e-01
logSigmaM         8.882788e-02 3.792022e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -2.781555e-03 5.497402e-02
nu1_vt            1.051559e-02 1.165091e-01
nu1_vt           -6.862590e-03 8.405103e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -1.002220e-03 4.831202e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -8.003714e-04 4.795354e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            5.144574e-03 7.038895e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -4.223641e-03 6.372445e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -1.280521e-02 1.378223e-01
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -1.629431e-03 5.001143e-02
nu1_vt            9.272234e-03 1.050780e-01
nu1_vt            5.199178e-03 7.061317e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt            4.377374e-03 6.511477e-02
nu1_vt            0.000000e+00 4.759635e-02
nu1_vt           -7.042071e-04 4.786937e-02
nu1_vt            9.826427e-03 1.107384e-01
nu1_vt           -1.265042e-02 1.373781e-01
